pokemon_id,pokemon_name,species_name,primary_type,secondary_type,is_mono-type,generation,total_stats,is_legendary,is_mythical,is_fully_evolved,is_regional_variant,is_default_form,color,shape,egg_groups,egg_group_1,egg_group_2,capture_rate,growth_rate,height,weight,hp,attack,defense,special-attack,special-defense,speed,egg_bug,egg_ditto,egg_dragon,egg_fairy,egg_flying,egg_ground,egg_humanshape,egg_indeterminate,egg_mineral,egg_monster,egg_no-eggs,egg_plant,egg_water1,egg_water2,egg_water3
1,bulbasaur,bulbasaur,grass,poison,False,1,318,False,False,False,False,True,green,quadruped,"['monster', 'plant']",monster,plant,45,medium-slow,7,69,45,49,49,65,65,45,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2,ivysaur,ivysaur,grass,poison,False,1,405,False,False,False,False,True,green,quadruped,"['monster', 'plant']",monster,plant,45,medium-slow,10,130,60,62,63,80,80,60,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
3,venusaur,venusaur,grass,poison,False,1,525,False,False,True,False,True,green,quadruped,"['monster', 'plant']",monster,plant,45,medium-slow,20,1000,80,82,83,100,100,80,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
4,charmander,charmander,fire,fire,True,1,309,False,False,False,False,True,red,upright,"['monster', 'dragon']",monster,dragon,45,medium-slow,6,85,39,52,43,60,50,65,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
5,charmeleon,charmeleon,fire,fire,True,1,405,False,False,False,False,True,red,upright,"['monster', 'dragon']",monster,dragon,45,medium-slow,11,190,58,64,58,80,65,80,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
6,charizard,charizard,fire,flying,False,1,534,False,False,True,False,True,red,upright,"['monster', 'dragon']",monster,dragon,45,medium-slow,17,905,78,84,78,109,85,100,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
7,squirtle,squirtle,water,water,True,1,314,False,False,False,False,True,blue,upright,"['monster', 'water1']",monster,water1,45,medium-slow,5,90,44,48,65,50,64,43,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,wartortle,wartortle,water,water,True,1,405,False,False,False,False,True,blue,upright,"['monster', 'water1']",monster,water1,45,medium-slow,10,225,59,63,80,65,80,58,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
9,blastoise,blastoise,water,water,True,1,530,False,False,True,False,True,blue,upright,"['monster', 'water1']",monster,water1,45,medium-slow,16,855,79,83,100,85,105,78,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
10,caterpie,caterpie,bug,bug,True,1,195,False,False,False,False,True,green,armor,['bug'],bug,bug,255,medium,3,29,45,30,35,20,20,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,metapod,metapod,bug,bug,True,1,205,False,False,False,False,True,green,squiggle,['bug'],bug,bug,120,medium,7,99,50,20,55,25,25,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,butterfree,butterfree,bug,flying,False,1,395,False,False,True,False,True,white,bug-wings,['bug'],bug,bug,45,medium,11,320,60,45,50,90,80,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,weedle,weedle,bug,poison,False,1,195,False,False,False,False,True,brown,armor,['bug'],bug,bug,255,medium,3,32,40,35,30,20,20,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,kakuna,kakuna,bug,poison,False,1,205,False,False,False,False,True,yellow,squiggle,['bug'],bug,bug,120,medium,6,100,45,25,50,25,25,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,beedrill,beedrill,bug,poison,False,1,395,False,False,True,False,True,yellow,bug-wings,['bug'],bug,bug,45,medium,10,295,65,90,40,45,80,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,pidgey,pidgey,normal,flying,False,1,251,False,False,False,False,True,brown,wings,['flying'],flying,flying,255,medium-slow,3,18,40,45,40,35,35,56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
17,pidgeotto,pidgeotto,normal,flying,False,1,349,False,False,False,False,True,brown,wings,['flying'],flying,flying,120,medium-slow,11,300,63,60,55,50,50,71,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,pidgeot,pidgeot,normal,flying,False,1,479,False,False,True,False,True,brown,wings,['flying'],flying,flying,45,medium-slow,15,395,83,80,75,70,70,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,rattata,rattata,normal,normal,True,1,253,False,False,False,False,True,purple,quadruped,['ground'],ground,ground,255,medium,3,35,30,56,35,25,35,72,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,raticate,raticate,normal,normal,True,1,413,False,False,True,False,True,brown,quadruped,['ground'],ground,ground,127,medium,7,185,55,81,60,50,70,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,spearow,spearow,normal,flying,False,1,262,False,False,False,False,True,brown,wings,['flying'],flying,flying,255,medium,3,20,40,60,30,31,31,70,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,fearow,fearow,normal,flying,False,1,442,False,False,True,False,True,brown,wings,['flying'],flying,flying,90,medium,12,380,65,90,65,61,61,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,ekans,ekans,poison,poison,True,1,288,False,False,False,False,True,purple,squiggle,"['ground', 'dragon']",ground,dragon,255,medium,20,69,35,60,44,40,54,55,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
24,arbok,arbok,poison,poison,True,1,448,False,False,True,False,True,purple,squiggle,"['ground', 'dragon']",ground,dragon,90,medium,35,650,60,95,69,65,79,80,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
25,pikachu,pikachu,electric,electric,True,1,320,False,False,False,False,True,yellow,quadruped,"['ground', 'fairy']",ground,fairy,190,medium,4,60,35,55,40,50,50,90,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
26,raichu,raichu,electric,electric,True,1,485,False,False,True,False,True,yellow,upright,"['ground', 'fairy']",ground,fairy,75,medium,8,300,60,90,55,90,80,110,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
27,sandshrew,sandshrew,ground,ground,True,1,300,False,False,False,False,True,yellow,upright,['ground'],ground,ground,255,medium,6,120,50,75,85,20,30,40,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,sandslash,sandslash,ground,ground,True,1,450,False,False,True,False,True,yellow,upright,['ground'],ground,ground,90,medium,10,295,75,100,110,45,55,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,nidoran-f,nidoran-f,poison,poison,True,1,275,False,False,False,False,True,blue,quadruped,"['monster', 'ground']",monster,ground,235,medium-slow,4,70,55,47,52,40,40,41,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
30,nidorina,nidorina,poison,poison,True,1,365,False,False,False,False,True,blue,quadruped,['no-eggs'],no-eggs,no-eggs,120,medium-slow,8,200,70,62,67,55,55,56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,nidoqueen,nidoqueen,poison,ground,False,1,505,False,False,True,False,True,blue,upright,['no-eggs'],no-eggs,no-eggs,45,medium-slow,13,600,90,92,87,75,85,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
32,nidoran-m,nidoran-m,poison,poison,True,1,273,False,False,False,False,True,purple,quadruped,"['monster', 'ground']",monster,ground,235,medium-slow,5,90,46,57,40,40,40,50,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
33,nidorino,nidorino,poison,poison,True,1,365,False,False,False,False,True,purple,quadruped,"['monster', 'ground']",monster,ground,120,medium-slow,9,195,61,72,57,55,55,65,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
34,nidoking,nidoking,poison,ground,False,1,505,False,False,True,False,True,purple,upright,"['monster', 'ground']",monster,ground,45,medium-slow,14,620,81,102,77,85,75,85,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
35,clefairy,clefairy,fairy,fairy,True,1,323,False,False,False,False,True,pink,upright,['fairy'],fairy,fairy,150,fast,6,75,70,45,48,60,65,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,clefable,clefable,fairy,fairy,True,1,483,False,False,True,False,True,pink,upright,['fairy'],fairy,fairy,25,fast,13,400,95,70,73,95,90,60,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37,vulpix,vulpix,fire,fire,True,1,299,False,False,False,False,True,brown,quadruped,['ground'],ground,ground,190,medium,6,99,38,41,40,50,65,65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,ninetales,ninetales,fire,fire,True,1,505,False,False,True,False,True,yellow,quadruped,['ground'],ground,ground,75,medium,11,199,73,76,75,81,100,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,jigglypuff,jigglypuff,normal,fairy,False,1,270,False,False,False,False,True,pink,humanoid,['fairy'],fairy,fairy,170,fast,5,55,115,45,20,45,25,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
